,class_id,slug,excerpt
0,0,10minutemail,"10MinuteMail.com does  keep logs or records of your personal data including, but not limited to, your IP address, your incoming e-mail, and your outgoing e-mail."
1,1,10minutemail,"A temporary cookie is used to allow the service to deliver the e-mail to the right person, but will expire when you close your browser."
2,2,1password,"At our discretion, we may make changes to this Policy and note the date of the last revision.
You should check here frequently if you need to know of updates to our Privacy Policy.
We maintain the right to send you annoying email informing you of substantive changes."
3,3,1password,any errors or defects will be corrected
4,4,1password,"The Change Log section below is not a part of these Terms, nor is the Terms of Service archive or any content linked therefrom."
5,5,1password,"AgileBits, Inc.
its subsidiaries, affiliates, and its licensors do not warrant that a) the Service will function uninterrupted, secure or available at any particular time or location."
6,6,1password,Your use of the Service is at your sole risk.The Service is provided on an “AS IS” and “AS AVAILABLE” basis.
7,8,420a3-com,"We WILL NOT disclose your information even if we believe we are required to do so by law, or to comply with a court order, judicial or other government subpoena, or warrant.
We will fight it because nothing we have is relevant to anything but your login.
We don't track what you search or when you search."
8,9,420a3-com,We DON'T share your data
9,10,420a3-com,"Third Party Advertisers
We DO NOT permit advertisements to be delivered to you by third party Internet advertising companies (also called ad networks or network advertisers)."
10,11,420a3-com,We will NEVER store Credit Card data on our servers or database
11,12,420a3-com,We take the guesswork out of cookies and we simply show you what we're using the cookies for
12,13,4chan,"Complaining about 4chan (its policies, moderation, etc) on the imageboards may result in post deletion and a ban"
13,14,4chan,"The use of scrapers, bots, or other automated posting or downloading scripts is prohibited"
14,15,4chan,You will immediately cease and not continue to access the site if you are under the age of 18.
15,16,500px,"500px reserves the right, at its sole discretion, to modify or replace the Terms at any time.
If the alterations constitute a material change to the Terms, 500px will notify you by posting an announcement on the Site.
What constitutes a material change will be determined at 500px’s sole discretion.
You are responsible for reviewing and becoming familiar with any such modifications.
Using any Service or viewing any Visual Content constitutes your acceptance of the Terms as modified."
16,17,500px,"ermination500px may terminate or suspend any and all Services and/or your 500px account immediately, without prior notice or liability, for any reason whatsoever, including without limitation if you breach the Terms.
Upon termination of your account, your right to use the Services will immediately cease.
If you wish to terminate your 500px account, you may simply discontinue using the Services (subject to termination provisions specific to Premium Accounts).
All provisions of the Terms which by their nature should survive termination shall survive termination, including, without limitation, ownership and rights provisions and warranties, warranty disclaimers, indemnity and limitations of liability."
17,18,500px,"By posting Visual Content to the Site, you grant to 500px a non-exclusive or exclusive, transferable, fully paid, worldwide license to use, sublicense, distribute, reproduce, modify, adapt, publicly perform and publicly display such Visual Content in connection with the Services.
This license will exist for the period during which the Visual Content is posted on the Site and will automatically terminate upon the removal of the Visual Content from the Site, subject to the terms of any license granted by an authorized 500px distributor;The license granted to 500px includes the right to use Visual Content fully or partially for promotional reasons and to distribute and redistribute Visual Content to other parties, websites, authorized agents, applications, and other entities, provided such Visual Content is attributed in accordance with the required credits (i.e.
username or collection name, profile picture, photo title, descriptions, tags, and other accompanying information) if any and as appropriate, as submitted to 500px, subject to any credit requirements governing the licensing of Visual Content pursuant to the Contributor Agreement (notwithstanding the foregoing, no inadvertent failure to provide appropriate attribution shall be considered a breach of these Terms);"
18,19,500px,
19,20,500px,"You hereby expressly and irrevocably release and forever discharge 500px, its affiliated and associated companies and its authorized distributors, and their respective directors, officers, employees, agents, representatives, independent and dependent contractors, licensees, successors and assigns of and from any and all actions, causes of action, suits, proceedings, liability, debts, judgments, claims and demands whatsoever in law or equity which you ever had, now have, or hereafter can, shall or may have, for or by reason of, or arising directly or indirectly out of your use of the Site and the Services.
 You hereby agree to indemnify and hold harmless 500px, its affiliated and associated companies and its authorized distributors, and their respective directors, officers, employees, agents, representatives, independent and dependent contractors, licensees, successors and assigns from and against all claims, losses, expenses, damages and costs (including, but not limited to, direct, incidental, consequential, exemplary and indirect damages), and reasonable attorneys' fees, resulting from or arising out of (i) a breach of these Terms, (ii) Content posted on the Site, (iii) the use of the Services or Premium Accounts, by you or any person using your account or 500px Username and password, (iv) the licensing or use of your Visual Content, or (v) any violation of any rights of a third party.
500px reserves the right, at its own expense, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you.
We are not liable if something goes really wrong."
20,9,500px,"Basically,We do not sell your information to anyone."
21,21,500px,"As a condition to using Services, you are required to open an account with 500px and select a password and username, and to provide registration information.
The registration information you provide must be accurate, complete, and current at all times."
22,23,500px,"00px may amend this Privacy Policy from time to time, at its sole discretion.
Use of information we collect now is subject to the Privacy Policy in effect at the time such information is used.
If we make changes to the Privacy Policy, we will notify you by posting an announcement on the 500px website so you are always aware of what information we collect, how we use it, and under what circumstances if any, it is disclosed.The Privacy Policy may change."
23,24,abc-australia,"By contributing content to any ABC Online Service, you grant the ABC a royalty-free, non-exclusive licence to use Your Content in any way that we want, and in any media worldwide."
24,16,albine,Things could change. We may amend or terminate any terms of this Agreement at any time and such amendment or termination will be effective at the time we post the revised terms on the site.
25,25,academia-edu,It also enables us to serve you advertising and other relevant content on and off of the Academia.edu Services.
26,26,adobe,"we may combine information provided by you with information from third party sources, in accordance with applicable law.
For example, the size, industry, and other information about the company you work for (where you have provided company name) will be obtained from sources including, professional networking sites and information service providers."
27,27,airbnb,Third parties may also use such tracking technologies to serve ads that they believe are most likely to be of interest to you and measure the effectiveness of their ads both on the Airbnb Platform and on other websites and online services.
28,29,airbnb,the Airbnb Platform currently does not respond to a “Do Not Track” signal in the HTTP header from your browser or mobile application
29,30,airbnb,"If you choose to decline cookies, some parts of the Airbnb Platform may not work as intended or may not work at all."
30,31,airbnb,"If Airbnb undertakes or is involved in any merger, acquisition, reorganization, sale of assets, bankruptcy, or insolvency event, then we may sell, transfer or share some or all of our assets, including your information"
31,32,airbnb,"Last Updated: November 1, 2019"
32,33,airbnb,We may retain some of your personal information as necessary for our legitimate business interests
33,34,airbnb,"we require certain information such as your first name, last name"
34,35,airbnb,"Information you have shared with others (e.g., Reviews, forum postings) may continue to be publicly visible on the Airbnb Platform, even after your Airbnb Account is cancelled.
However, attribution of such information to you will be removed."
35,36,airbnb,"15.3 Without limiting our rights specified below, Airbnb may terminate this Agreement for convenience at any time by giving you thirty (30) days' notice via email to your registered email address."
36,37,airbnb,"we work with a number of analytics partners, including Google Analytics"
37,39,algolia,"If Algolia makes material changes to how we treat your personal information, we will notify you by email (sent to the email address specified in your account) or by means of a notice on this page thirty (30) days prior to the change becoming effective."
38,40,alignable,"Additionally, you grant Alignable a nonexclusive, irrevocable, worldwide, perpetual, unlimited, assignable, sublicenseable, fully paid up and royalty-free right to copy, prepare derivative works of, improve, distribute, publish, remove, retain, add, process, analyze, use and commercialize, in any way now known or in the future discovered, any information you provide, directly or indirectly, to Alignable, including, but not limited to, any user generated content, publicly available online information used by Alignable to populate your profile, ideas, concepts, techniques or data (but excluding email addresses), without any further consent, notice and/or compensation to you or to any third parties."
39,41,alignable,"You will fully indemnify, defend and hold us harmless for all damages, losses and costs (including, but not limited to, reasonable legal fees and costs), fines, administrative monetary penalties or settlement costs, ("""") related to all third party claims, charges, regulatory and other investigations"
40,41,alignable,"You will fully indemnify, defend and hold us harmless for all damages, losses and costs (including, but not limited to, reasonable legal fees and costs), fines, administrative monetary penalties or settlement costs, ("""") related to all third party claims, charges, regulatory and other investigations"
41,41,alignable,"You will further indemnify, defend, and hold us harmless from and any and all Losses arising from (a) any breach or inaccuracy of Section 2 above.
or (b) any claim or allegation that you or Alignable has transmitted a communication using the Services in violation of applicable law, including applicable anti-spam legislation."
42,42,alignable,"You own or otherwise have the lawful right to provide the information that you provide to Alignable or allow Alignable to access under this Agreement, and may request its deletion at any time, unless you have shared information or content with other Users and they have not deleted it, or it was copied or stored by other Users with your permission."
43,15,alignable,(1) are 18 years of age or older.
44,43,alignable,You are responsible for anything that happens through or involving your account until you close down your account or prove to Alignable’s reasonable satisfaction that your account security was compromised due to no fault of your own.
45,44,alignable,"(but not through scraping, spidering, crawling or other technology or software used to access data without the express written consent of Alignable or its Users)"
46,45,allrecipes,"Digital technology is rapidly evolving.
If we decide to change our Privacy Policy in the future, we'll post the changes here and indicate at the top of the policy the last date on which it was updated.
Unless otherwise noted, all changes will be effective when posted."
47,41,allrecipes,"You agree to indemnify and hold Meredith, its corporate parents, subsidiaries, and affiliates, and the officers, directors, employees, agents, representatives, partners and licensors of each (collectively, the """") harmless from any damages, losses, costs, liabilities and expenses (including reasonable attorneys' fees) relating to or arising out of any claims concerning: (a) Your Content.
(b) your misuse of the Services.
(c) your violation of this Agreement.
(d) your violation of any rights of another party, including any Users.
or (e) your violation of any applicable laws, rules or regulations.
Meredith reserves the right, at its own cost, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you, in which event you will fully cooperate with Meredith in asserting any available defenses."
48,29,allrecipes,Do Not Track.We do not currently respond to browser do-not-track signals.
49,38,allrecipes,"Like most website and mobile application operators, we, our service providers or other third parties acting on our behalf or with our permission, use embedded scripts, ""cookies,"" web beacons, device identifiers and other tracking technologies to operate, analyze, improve and protect the security of our Services and tailor content and advertising to user interests."
50,46,allrecipes,"IF YOU AGREE TO ARBITRATION WITH MEREDITH, YOU ARE AGREEING IN ADVANCE THAT YOU WILL NOT PARTICIPATE IN OR SEEK TO RECOVER MONETARY OR OTHER RELIEF IN ANY LAWSUIT FILED AGAINST MEREDITH ALLEGING CLASS, COLLECTIVE, AND/OR REPRESENTATIVE CLAIMS ON YOUR BEHALF.
INSTEAD, BY AGREEING TO ARBITRATION, YOU MAY BRING COVERED CLAIMS AGAINST MEREDITH ONLY IN AN INDIVIDUAL ARBITRATION PROCEEDING."
51,32,allrecipes,"Terms of Service AgreementEffective Date: March 16, 2017"
52,32,allrecipes,"Terms of Service AgreementEffective Date: March 16, 2017"
53,32,allrecipes,"Terms of Service AgreementEffective Date: March 16, 2017"
54,44,allrecipes,"(e) you shall not use any manual or automated software, devices or other processes (including but not limited to spiders, robots, scrapers, crawlers, avatars, data mining tools or the like) to ""scrape"" or download data from the Services (except that we grant the operators of public search engines revocable permission to use spiders to copy materials from the Website for the sole purpose of and solely to the extent necessary for creating publicly available searchable indices of the materials, but not caches or archives of such materials)."
55,16,amazon,"We reserve the right to make changes to our site, policies, Service Terms, and these Conditions of Use at any time"
56,47,amazon,"We may terminate the Agreement or restrict, suspend or terminate your use of the Service at our discretion at any time without notice."
57,48,amazon,"we use ""cookies,"" and we obtain certain types of information when your Web browser accesses Amazon.com or advertisements and other content served by or on behalf of Amazon.com on other Web sites."
58,49,amazon,"Any dispute or claim relating in any way to your use of any Amazon Service, or to any products or services sold or distributed by Amazon or through Amazon.com will be resolved by binding arbitration, rather than in court, except that you may assert claims in small claims court if your claims qualify."
59,30,amazon,"For instance, if you block or otherwise reject our cookies, you will not be able to add items to your Shopping Cart, proceed to Checkout, or use any Amazon.com products and services that require you to Sign in"
60,2,amazon,"We may e-mail periodic reminders of our notices and conditions, but you should check our Web site frequently to see recent changes.
Unless stated otherwise, our current Privacy Notice applies to all information that we have about you and your account.
We stand behind the promises we make, however, and will never materially change our policies and practices to make them less protective of customer information collected in the past without the consent of affected customers."
61,50,amazon,"If you do post content or submit material, and unless we indicate otherwise, you grant Amazon a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.
You grant Amazon and sublicensees the right to use the name that you submit in connection with such content, if they choose."
62,31,amazon,"As we continue to develop our business, we might sell or buy stores, subsidiaries, or business units.
In such transactions, customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice (unless, of course, the customer consents otherwise).
Also, in the unlikely event that Amazon.com, Inc., or substantially all of its assets are acquired, customer information will of course be one of the transferred assets."
63,51,amazon,"Other than as set out above, you will receive notice when information about you might go to third parties, and you will have an opportunity to choose not to share the information."
64,52,amazon,"Advertisers or ad companies working on their behalf sometimes use technology to serve the ads that appear on our sites directly to your browser.
They automatically receive your IP address when this happens.
They may also use cookies to measure the effectiveness of their ads and to personalize ad content.
We do not have access to or control over cookies or other features that advertisers and third party sites may use, and the information practices of these advertisers and third party websites are not covered by our Privacy Notice or this Interest-Based Ads page.
Please contact them directly for more information about their privacy practices."
65,53,amazon,"Amazon reserves the right to refuse service, terminate accounts, terminate your rights to use Amazon Services, remove or edit content, or cancel orders in its sole discretion."
66,54,amazon,"On both Amazon-owned and operated sites and unaffiliated sites, Amazon displays interest-based advertising using information you make available to us when you interact with our sites, content, or services.
Interest-based ads, also sometimes referred to as personalized or targeted ads, are displayed to you based on information from activities such as purchasing on our sites, visiting sites that contain Amazon content or ads, interacting with Amazon tools, or using our payment services."
67,55,amazon,"You can choose not to provide certain information, but then you might not be able to take advantage of many of our features.
We use the information that you provide for such purposes as responding to your requests, customizing future shopping for you, improving our stores, and communicating with you.
"
68,56,amazon,"They have access to personal information needed to perform their functions, but may not use it for other purposes."
69,6,amazon,"THE AMAZON SERVICES AND ALL INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) AND OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH THE AMAZON SERVICES ARE PROVIDED BY AMAZON ON AN ""AS IS"" AND ""AS AVAILABLE"" BASIS, UNLESS OTHERWISE SPECIFIED IN WRITING.
AMAZON MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, AS TO THE OPERATION OF THE AMAZON SERVICES, OR THE INFORMATION, CONTENT, MATERIALS, PRODUCTS (INCLUDING SOFTWARE) OR OTHER SERVICES INCLUDED ON OR OTHERWISE MADE AVAILABLE TO YOU THROUGH THE AMAZON SERVICES, UNLESS OTHERWISE SPECIFIED IN WRITING.
YOU EXPRESSLY AGREE THAT YOUR USE OF THE AMAZON SERVICES IS AT YOUR SOLE RISK"
70,57,amazon,"You are responsible for maintaining the confidentiality of your account and password and for restricting access to your account, and you agree to accept responsibility for all activities that occur under your account or password."
71,58,amazon,"We release account and other personal information when we believe release is appropriate to comply with the law.
enforce or apply our Conditions of Use and other agreements.
or protect the rights, property, or safety of Amazon.com, our users, or others.
This includes exchanging information with other companies and organizations for fraud protection and credit risk reduction.
Obviously, however, this does not include selling, renting, sharing, or otherwise disclosing personally identifiable information from customers for commercial purposes in violation of the commitments set forth in this Privacy Notice."
72,59,amazon,"The Amazon Group Companies are subject to the investigatory and enforcement powers of the Federal Trade Commission (FTC).
We may be required to disclose personal information that we handle under the Privacy Shield in response to lawful requests by public authorities, including to meet national security or law enforcement requirements."
73,60,amazon,"Please review our other policies, such as our pricing policy, posted on this site.
These policies also govern your use of Amazon Services"
74,61,amnestyinternationallimited(uk),"In some circumstances your information may be shared with us by third parties, but only where you have specifically consented.
Examples include registering for a human rights education course with our external provider, or if you register your interest in joining Amnesty International or one of its campaigns through Facebook, Facebook will share information such as your name and email address with us."
75,62,amnestyinternationallimited(uk),"What types of information do we collect and how?
The type and amount of information we receive and store depends on how you use our websites.
You can access most of the pages on our websites without telling us who you are and without revealing any personal information."
76,63,amnestyinternationallimited(uk),"To the extent that sharing your information in this way requires us to transfer your personal information outside of the EU, we have contractual arrangements in place to ensure that your data is shared and processed by the recipient organisation to an EU standard."
77,8,amnestyinternationallimited(uk),"We may also share your personal information with your permission, or if we are legally required to disclose your information in circumstances where this cannot be reasonably resisted."
78,64,amnestyinternationallimited(uk),"We collect personal information in the following ways:
When you apply for a job or volunteering opportunity with us"
79,42,amnestyinternationallimited(uk),"Access to and your rights over your personal information
To restrict our processing of your data (which includes contacting you via email) at any time."
80,65,amnestyinternationallimited(uk),"Retention Period For Data
The length of time each category of data will be retained will vary depending on how long we need to process it for, the reason it was collected and in line with any statutory requirements."
81,66,amnestyinternationallimited(uk),"We use both Facebook and Twitter pixel tags.
Pixel tags are used to track conversion from social media to our website."
82,67,amnestyinternationallimited(uk),After this time the data will either be deleted or we may retain a secure anonymised record for research and analytical purposes.
83,68,amnestyinternationallimited(uk),Below is a full list of cookies set by www.amnesty.org
84,70,amnestyinternationallimited(uk),"If you choose to provide it, we can collect the following types of personal information from you:
"
85,71,amnestyinternationallimited(uk),"How do we use information collected?
To share your data with other Amnesty International organisations or with trusted third parties (further details below)To fulfil any legal obligations"
86,72,amnestyinternationallimited(uk),"Complaints
Telephone: 0303 123 1113"
87,73,amnestyinternationallimited(uk),This policy was last updated on [1] June 2018 and is reviewed every 12 months.
88,74,amnestyinternationallimited(uk)," Amnesty International Limited is one part of Amnesty International’s global movement.
Our movement is made up of over 60 membership organisations working to end human rights violations globally, including within the UK.
Some of these bodies are formally constituted and others not.
We may share your information with these entities who may then use your personal information in connection with their activities.
For example, if you have expressed an interest in joining Amnesty International or sign a petition, we may share your contact details with your local Amnesty International organisation."
89,15,amnestyinternationallimited(uk),
90,76,amnestyinternationallimited(uk),"Hosting and processing arrangements  Where submitted, your card details may be disclosed to banks or relevant financial institutions to arrange payments.
In the case of a suspected fraudulent transaction, your details may be further disclosed for the sole purpose of performing further checks (for example, disclosure to a credit checking agency)."
91,77,amnestyinternationallimited(uk),"Third Party Websites
"
92,78,amnestyinternationallimited(uk),All our email communications to you will contain an unsubscribe link.
93,78,amnestyinternationallimited(uk),All our email communications to you will contain an unsubscribe link.
94,79,amnestyinternationallimited(uk),en Choose language  العربية
95,32,ancestry,Effective Date of our Revised Terms and Conditions: 25 Jul 2019
96,15,ancestry,"While our other Services are intended for adults, if you are between the ages of 13 and 18, you may use the other Services with your parent's or guardian's permission.
Children under the age of 13 are not permitted to use any Services."
97,15,ancestry,You must be at least 18 years old to purchase or activate a DNA Kit
98,80,ancestry,No Waiver: Our failure to enforce any provision of these Terms is not a waiver of our rights under that provision.
99,32,anki,"UPDATED October 5, 2018"
100,81,anki,"We will notify you of material changes by posting a notice within the Services, sending you an email, and/or by some other means."
101,32,ankiweb,Last updated 2018-09-02.
102,32,ankiweb,Last updated 2018-10-17.
103,47,any-do,"Without prejudice to any other rights, this Agreement and your right to use this Software automatically terminates if you fail to comply with any provision of this License Agreement.
Any.DO may terminate this License Agreement at any time with or without prior notice."
104,32,sparkforappraisers,End User License Agreement 
105,65,sparkforappraisers,"In addition, all data uploaded to Spark by the appraiser or their assistants/trainees is permanently deleted within two hours of being uploaded."
106,9,sparkforappraisers,The Spark application does not utilize tracking cookies and does not sell or market any of your information or data to ANY other service or party.
